mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
85	85	0	0	4/4	3	1		IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
85	85	1/4	1/4	4/4	3	1		IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
85	85	1/2	1/2	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
86	86	0	0	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
86	86	1/4	1/4	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
86	86	1/2	1/2	4/4	3	1		V6(4)/III		d	i		V6(4)/III	V		6	4	III			M	1	1	-3, -1, -2		-2	-3
86	86	3/4	3/4	4/4	3	1		V6/III		d	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
87	87	0	0	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
87	87	1/2	1/2	4/4	3	1		III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
88	88	0	0	4/4	3	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
88	88	1/2	1/2	4/4	3	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
88	88	3/4	3/4	4/4	3	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
89	89	1/4	1/4	4/4	3	1		i64		d	i		i64	i		64					m	1	1	1, 0, -3		0	1
89	89	1/2	1/2	4/4	3	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
90	90	0	0	4/4	3	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
90	90	1/2	1/2	4/4	3	1		III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
90	90	3/4	3/4	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
91	91	0	0	4/4	3	1		#vi%65		d	i		#vi%65	#vi	%	65					%7	1	1	0, -3, 1, 3		3	0
91	91	1/4	1/4	4/4	3	1		ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
91	91	1/2	1/2	4/4	3	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
92	92	0	0	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
92	92	1/2	1/2	4/4	3	1		v64		d	i		v64	v		64					m	1	1	2, 1, -2		1	2
92	92	3/4	3/4	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
93	93	0	0	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
93	93	1/4	1/4	4/4	3	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
93	93	1/2	1/2	4/4	3	1		ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
93	93	3/4	3/4	4/4	3	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
94	94	0	0	4/4	3	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
94	94	1/2	1/2	4/4	3	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
94	94	3/4	3/4	4/4	3	1		iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
95	95	0	0	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
96	96	0	0	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
97	97	0	0	4/4	3	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
97	97	1/4	1/4	4/4	3	1		iv/v		d	i		iv/v	iv				v			m	1	1	0, -3, 1		0	0
97	97	1/2	1/2	4/4	3	1		ii%65/v		d	i		ii%65/v	ii	%	65		v			%7	1	1	0, -3, 1, 3		3	0
97	97	3/4	3/4	4/4	3	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
98	98	0	0	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
98	98	1/4	1/4	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
98	98	1/2	1/2	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
98	98	3/4	3/4	4/4	3	1		viio6/VII		d	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
99	99	0	0	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
99	99	1/4	1/4	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
99	99	1/2	1/2	4/4	3	1		VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
99	99	3/4	3/4	4/4	3	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
100	100	0	0	4/4	3	1		V/V		d	i		V/V	V				V			M	1	1	2, 6, 3		2	2
100	100	1/4	1/4	4/4	3	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
100	100	1/2	1/2	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
100	100	3/4	3/4	4/4	3	1		#viio6/v		d	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
101	101	0	0	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
102	102	0	0	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
102	102	1/4	1/4	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
103	103	0	0	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
103	103	1/4	1/4	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
103	103	1/2	1/2	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
103	103	3/4	3/4	4/4	3	1		#viio6/iv		d	i		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
104	104	0	0	4/4	3	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
105	105	0	0	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
106	106	0	0	4/4	3	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
106	106	1/4	1/4	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
107	107	0	0	4/4	3	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
108	108	0	0	4/4	3	1		VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
108	108	1/4	1/4	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
109	109	0	0	4/4	3	1		IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
110	110	0	0	4/4	3	1		VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
110	110	1/4	1/4	4/4	3	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
110	110	1/2	1/2	4/4	3	1		VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
111	111	0	0	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
111	111	1/4	1/4	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
111	111	1/2	1/2	4/4	3	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
112	112	0	0	4/4	3	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
112	112	1/4	1/4	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
112	112	1/2	1/2	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
113	113	0	0	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
115	115	0	0	4/4	3	1		ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
115	115	1/4	1/4	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
116	116	0	0	4/4	3	1		ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
116	116	1/4	1/4	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
116	116	1/2	1/2	4/4	3	1		VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
117	117	0	0	4/4	3	1		#viio6/v		d	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
117	117	1/2	1/2	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
118	118	0	0	4/4	3	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
118	118	1/4	1/4	4/4	3	1		V(64)/v		d	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
118	118	1/2	1/2	4/4	3	1		V(4)/v		d	i		V(4)/v	V			4	v			M	1	1	2, 1, 3		2	2
118	118	3/4	3/4	4/4	3	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
119	119	0	0	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
122	122	0	0	4/4	3	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
123	123	0	0	4/4	3	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
124	124	0	0	4/4	3	1		IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
125	125	0	0	4/4	3	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
126	126	0	0	4/4	3	1		V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
126	126	1/4	1/4	4/4	3	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
127	127	0	0	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
127	127	1/2	1/2	4/4	3	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
127	127	3/4	3/4	4/4	3	1		V43		d	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
128	128	0	0	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
128	128	1/4	1/4	4/4	3	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
128	128	1/2	1/2	4/4	3	1		i6(2)		d	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
128	128	3/4	3/4	4/4	3	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
129	129	0	0	4/4	3	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
130	130	0	0	4/4	3	1		VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
130	130	1/4	1/4	4/4	3	1		ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
130	130	1/2	1/2	4/4	3	1		VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
130	130	3/4	3/4	4/4	3	1		ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
131	131	0	0	4/4	3	1		I6(2)		d	i		I6(2)	I		6	2				M	1	1	4, 1, 2		0	4
131	131	1/2	1/2	4/4	3	1		I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
131	131	3/4	3/4	4/4	3	1		#iii6		d	i		#iii6	#iii		6					m	1	1	1, 5, 4		4	1
132	132	0	0	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
132	132	1/2	1/2	4/4	3	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
133	133	0	0	4/4	3	1		ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
133	133	1/2	1/2	4/4	3	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
134	134	1/2	1/2	4/4	3	1		#iii6		d	i		#iii6	#iii		6					m	1	1	1, 5, 4		4	1
134	134	3/4	3/4	4/4	3	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
135	135	0	0	4/4	3	1		I		d	i		I	I							M	1	1	0, 4, 1		0	0
135	135	1/2	1/2	4/4	3	1		viio/VII		d	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
136	136	0	0	4/4	3	1		V/VII		d	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
136	136	1/2	1/2	4/4	3	1		V6/VII		d	i		V6/VII	V		6		VII			M	1	1	3, 0, -1		-1	3
137	137	0	0	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
137	137	1/2	1/2	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
138	138	0	0	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
138	138	1/4	1/4	4/4	3	1		VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
138	138	1/2	1/2	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
138	138	3/4	3/4	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
